id;created_at;content;content_content_type
1;2019-10-29T10:30:55;../fake-data/blob/hipster.png;image/png
2;2019-10-28T19:16:05;../fake-data/blob/hipster.png;image/png
3;2019-10-28T20:01:16;../fake-data/blob/hipster.png;image/png
4;2019-10-29T08:20:28;../fake-data/blob/hipster.png;image/png
5;2019-10-28T23:16:47;../fake-data/blob/hipster.png;image/png
6;2019-10-29T16:51:13;../fake-data/blob/hipster.png;image/png
7;2019-10-28T18:21:04;../fake-data/blob/hipster.png;image/png
8;2019-10-28T18:56:43;../fake-data/blob/hipster.png;image/png
9;2019-10-29T09:17:12;../fake-data/blob/hipster.png;image/png
10;2019-10-29T06:56:54;../fake-data/blob/hipster.png;image/png
